objectid,ntm_stop_i,ntm_feed_i,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,Count
85983,85983,66,1563,SsaOkySE,S.Salina St & Oakley Dr,S SALINA ST & OAKLEY DR E,42.98704700000,-76.14390300000,,1
80377,80377,66,6276,CotMlvSW,Court St & Malverne Dr,,43.07967600000,-76.14390000000,,1
80898,80898,66,1346,SsaWrnNW,S.Salina St & Warner Ave,S SALINA ST & WARNER AVE,43.02253200000,-76.14390000000,,1
84159,84159,66,1599,SsaBrmSE,S.Salina St & Brampton Rd,S SALINA ST & BRAMPTON RD,42.99224800000,-76.14388300000,,1
85506,85506,66,14906,ParButNE,Park St & Butternut St,,43.06294300000,-76.14387600000,,1
81439,81439,66,1601,SsaFisNW,S.Salina St & Fiscoe Ave,S SALINA ST & HARDING PL,42.99292800000,-76.14387000000,,1
83083,83083,66,1557,SsaJacNW,S.Salina St & Jaclyn,S SALINA ST & SPAULDING AVE,42.98628600000,-76.14386800000,,1
85570,85570,66,10079,DorSalSW,Dorwin Ave & S Salina St,,42.98536400000,-76.14383200000,,1
85531,85531,66,7605,LodDogSE,Lodi St & Douglas St,,43.05820700000,-76.14378400000,,1
83869,83869,66,1612,SsaRosNW,S.Salina St & Rosemont Dr,S SALINA ST & ROSEMONT DR,42.99363500000,-76.14378300000,,1
81441,81441,66,1605,SsaHdgSE,S.Salina St & Harding Pl,S SALINA ST & HARDING PL,42.99332200000,-76.14374600000,,1
81429,81429,66,1553,SsaPahSE,S.Salina St & Parrish Ln,S SALINA ST & PARRISH LN,42.98599000000,-76.14374500000,,1
81881,81881,66,6643,EwsSmcNE,E.Washington St & S.McBride St,,43.04953200000,-76.14373600000,,1
79746,79746,66,1548,SsaDorNW,S.Salina St & Dorwin Ave,S SALINA ST & DORWIN AVE,42.98548000000,-76.14372100000,,1
81952,81952,66,1350,SsaMcaSE,S.Salina St & McAllister Ave,S SALINA ST & MCALLISTER AVE,43.02225400000,-76.14370300000,,1
81437,81437,66,1609,SsaWwrNW,S.Salina St & W.Warrington Rd,S SALINA ST & W WARRINGTON RD,42.99461100000,-76.14363300000,,1
85491,85491,66,10488,SalDorSE,S Salina St & Dorwin Ave,S SALINA ST & DORWIN AVE,42.98531900000,-76.14362200000,,1
84538,84538,66,1617,SsaEwrSE,S.Salina St & E.Warrington Rd,S SALINA ST & E WARRINGTON RD,42.99424400000,-76.14360900000,,1
80375,80375,66,6275,CotMlvNE,Court St & Malverne Dr,,43.07991800000,-76.14360400000,,1
79735,79735,66,1545,SsaDorEX,S.Salina St & Dorwin Ave,,42.98528300000,-76.14358500000,,1
81442,81442,66,1604,SsaWchNW,S.Salina St & W.Cheltenham Rd,S SALINA ST & W CHELTENHAM RD,42.99529100000,-76.14353300000,,1
79564,79564,66,10618,ColStaSW,E Colvin St & S State St,,43.02586200000,-76.14348800000,,1
84141,84141,66,1596,SsaEchSE,S.Salina St & E.Cheltenham Rd,S SALINA ST & E CHELTENHAM RD,42.99512100000,-76.14347200000,,1
84142,84142,66,1591,SsaWeyWX,S.Salina St & Weymouth Rd,,42.99600700000,-76.14344600000,,1
83183,83183,66,1127,But1snNW,Butternut St & 1st North St,,43.06724000000,-76.14337600000,,1
85889,85889,66,7027,ButScsNW,Butternut St & S.Carbon St,,43.06403500000,-76.14336800000,,1
82036,82036,66,7008,ButSpiSW,Butternut St & Spring St,,43.06519000000,-76.14336700000,,1
83572,83572,66,1593,SsaWeySE,S.Salina St & Weymouth Rd,S SALINA ST & WEYMOUTH RD,42.99597100000,-76.14336000000,,1
83549,83549,66,1583,SsaAmiSW,S.Salina St & Amidon Dr,S SALINA ST & AMIDON DR,42.99648200000,-76.14335900000,,1
85174,85174,66,7016,ButGftNW,Butternut St & Griffith St,,43.06831400000,-76.14335000000,,1
85980,85980,66,1292,WglSsaSW,W.Glen Ave & S.Salina St,,43.00558500000,-76.14333300000,,1
81912,81912,66,13230,ButKnaSE,Butternut St & Knaul St,,43.06630900000,-76.14331600000,,1
83182,83182,66,1125,But1snEX,Butternut St & 1st North St,,43.06718600000,-76.14331400000,,1
84930,84930,66,7032,ButCabSE,Butternut St & Carbon St,,43.06401700000,-76.14330700000,,1
82093,82093,66,6662,ButHrlNE,Butternut St & Hartley St,,43.06864600000,-76.14328700000,,1
85225,85225,66,6659,But3avNE,Butternut St & 3rd Ave,,43.06973800000,-76.14327300000,,1
85229,85229,66,6653,ButWilNW,Butternut St & Williston Ave,,43.07033800000,-76.14327200000,,1
80210,80210,66,1589,SsaAmiEX,S.Salina St & Amidon Dr,,42.99669600000,-76.14326000000,,1
85981,85981,66,1293,SsaWglNW,S.Salina St & W.Glen Ave,S SALINA ST & W GLEN AVE,43.00568400000,-76.14324700000,,1
80511,80511,66,10473,ColStaNE,Colvin St & State St,,43.02593300000,-76.14324100000,,1
